category,n_pkts_dropped,n_bits_dropped,n_pkts_bypassed,n_rx_bits,n_rx_pkts,n_tx_bits,n_tx_pkts,n_rx_offload_bits,n_rx_offload_pkts,n_tx_offload_bits,n_tx_offload_pkts
OutboundTrafficMetrics,0,0,0,5824,5,5824,5,0,0,0,0
InboundTrafficMetrics,0,0,0,11144,5,11144,5,0,0,0,0
OutboundTrafficMetrics,0,0,0,5824,5,5824,5,0,0,0,0
InboundTrafficMetrics,0,0,0,10736,5,10736,5,0,0,0,0
OutboundTrafficMetrics,0,0,0,30888,18,30888,18,0,0,0,0
InboundTrafficMetrics,0,0,0,191632,29,191632,29,0,0,0,0
OutboundTrafficMetrics,0,0,0,30888,18,30888,18,0,0,0,0
InboundTrafficMetrics,0,0,0,191048,29,191048,29,0,0,0,0
OutboundTrafficMetrics,0,0,0,384304,102,384304,102,0,0,0,0
InboundTrafficMetrics,0,0,0,1183280,166,1183280,166,0,0,0,0
OutboundTrafficMetrics,0,0,0,384304,102,384304,102,0,0,0,0
InboundTrafficMetrics,0,0,0,1182992,166,1182992,166,0,0,0,0
OutboundTrafficMetrics,0,0,0,21872,15,21872,15,0,0,0,0
InboundTrafficMetrics,0,0,0,222288,31,222288,31,0,0,0,0
OutboundTrafficMetrics,0,0,0,21872,15,21872,15,0,0,0,0
InboundTrafficMetrics,0,0,0,221704,31,221704,31,0,0,0,0
OutboundTrafficMetrics,0,0,0,5728,3,5728,3,0,0,0,0
InboundTrafficMetrics,0,0,0,3256,3,3256,3,0,0,0,0
OutboundTrafficMetrics,0,0,0,5728,3,5728,3,0,0,0,0
InboundTrafficMetrics,0,0,0,2968,3,2968,3,0,0,0,0
OutboundTrafficMetrics,0,0,0,22176,5,22176,5,0,0,0,0
InboundTrafficMetrics,0,0,0,5880,4,5880,4,0,0,0,0
OutboundTrafficMetrics,0,0,0,22176,5,22176,5,0,0,0,0
InboundTrafficMetrics,0,0,0,5304,4,5304,4,0,0,0,0
OutboundTrafficMetrics,0,0,0,4224,6,4224,6,0,0,0,0
InboundTrafficMetrics,0,0,0,5248,5,5248,5,0,0,0,0
OutboundTrafficMetrics,0,0,0,4224,6,4224,6,0,0,0,0
InboundTrafficMetrics,0,0,0,4952,5,4952,5,0,0,0,0
OutboundTrafficMetrics,0,0,0,14880,10,14880,10,0,0,0,0
InboundTrafficMetrics,0,0,0,18104,8,18104,8,0,0,0,0
OutboundTrafficMetrics,0,0,0,14880,10,14880,10,0,0,0,0
InboundTrafficMetrics,0,0,0,17808,8,17808,8,0,0,0,0
OutboundTrafficMetrics,0,0,0,9600,5,9600,5,0,0,0,0
InboundTrafficMetrics,0,0,0,4728,4,4728,4,0,0,0,0
OutboundTrafficMetrics,0,0,0,9600,5,9600,5,0,0,0,0
InboundTrafficMetrics,0,0,0,4144,4,4144,4,0,0,0,0
OutboundTrafficMetrics,0,0,0,4048,4,4048,4,0,0,0,0
InboundTrafficMetrics,0,0,0,7272,4,7272,4,0,0,0,0
OutboundTrafficMetrics,0,0,0,4048,4,4048,4,0,0,0,0
InboundTrafficMetrics,0,0,0,6984,4,6984,4,0,0,0,0
OutboundTrafficMetrics,0,0,0,1968,3,1968,3,0,0,0,0
InboundTrafficMetrics,0,0,0,2952,3,2952,3,0,0,0,0
OutboundTrafficMetrics,0,0,0,1968,3,1968,3,0,0,0,0
InboundTrafficMetrics,0,0,0,2296,2,2296,2,0,0,0,0
OutboundTrafficMetrics,0,0,0,13576,12,13576,12,0,0,0,0
InboundTrafficMetrics,0,0,0,37104,12,37104,12,0,0,0,0
OutboundTrafficMetrics,0,0,0,13576,12,13576,12,0,0,0,0
InboundTrafficMetrics,0,0,0,36808,12,36808,12,0,0,0,0
OutboundTrafficMetrics,0,0,0,6792,5,6792,5,0,0,0,0
InboundTrafficMetrics,0,0,0,8152,5,8152,5,0,0,0,0
OutboundTrafficMetrics,0,0,0,6792,5,6792,5,0,0,0,0
InboundTrafficMetrics,0,0,0,7568,5,7568,5,0,0,0,0
OutboundTrafficMetrics,0,0,0,8000,5,8000,5,0,0,0,0
InboundTrafficMetrics,0,0,0,10472,5,10472,5,0,0,0,0
OutboundTrafficMetrics,0,0,0,8000,5,8000,5,0,0,0,0
InboundTrafficMetrics,0,0,0,10064,5,10064,5,0,0,0,0
OutboundTrafficMetrics,0,0,0,2456,3,2456,3,0,0,0,0
InboundTrafficMetrics,0,0,0,4296,4,4296,4,0,0,0,0
OutboundTrafficMetrics,0,0,0,2456,3,2456,3,0,0,0,0
InboundTrafficMetrics,0,0,0,4008,4,4008,4,0,0,0,0
OutboundTrafficMetrics,0,0,0,3480,3,3480,3,0,0,0,0
InboundTrafficMetrics,0,0,0,6808,4,6808,4,0,0,0,0
OutboundTrafficMetrics,0,0,0,3480,3,3480,3,0,0,0,0
InboundTrafficMetrics,0,0,0,6224,4,6224,4,0,0,0,0
OutboundTrafficMetrics,0,0,0,2496,3,2496,3,0,0,0,0
InboundTrafficMetrics,0,0,0,3040,3,3040,3,0,0,0,0
OutboundTrafficMetrics,0,0,0,2496,3,2496,3,0,0,0,0
InboundTrafficMetrics,0,0,0,2752,3,2752,3,0,0,0,0
OutboundTrafficMetrics,0,0,0,26384,13,26384,13,0,0,0,0
InboundTrafficMetrics,0,0,0,40008,13,40008,13,0,0,0,0
OutboundTrafficMetrics,0,0,0,26384,13,26384,13,0,0,0,0
InboundTrafficMetrics,0,0,0,39424,12,39424,12,0,0,0,0
OutboundTrafficMetrics,0,0,0,17576,11,17576,11,0,0,0,0
InboundTrafficMetrics,0,0,0,23208,15,23208,15,0,0,0,0
OutboundTrafficMetrics,0,0,0,17576,11,17576,11,0,0,0,0
InboundTrafficMetrics,0,0,0,22920,15,22920,15,0,0,0,0
OutboundTrafficMetrics,0,0,0,17144,8,17144,8,0,0,0,0
InboundTrafficMetrics,0,0,0,23072,7,23072,7,0,0,0,0
OutboundTrafficMetrics,0,0,0,17144,8,17144,8,0,0,0,0
InboundTrafficMetrics,0,0,0,22784,7,22784,7,0,0,0,0
OutboundTrafficMetrics,0,0,0,8312,9,8312,9,0,0,0,0
InboundTrafficMetrics,0,0,0,15600,12,15600,12,0,0,0,0
OutboundTrafficMetrics,0,0,0,8312,9,8312,9,0,0,0,0
InboundTrafficMetrics,0,0,0,15024,11,15024,11,0,0,0,0
OutboundTrafficMetrics,0,0,0,7808,5,7808,5,0,0,0,0
InboundTrafficMetrics,0,0,0,9336,5,9336,5,0,0,0,0
OutboundTrafficMetrics,0,0,0,7808,5,7808,5,0,0,0,0
InboundTrafficMetrics,0,0,0,9048,5,9048,5,0,0,0,0
OutboundTrafficMetrics,0,0,0,5688,5,5688,5,0,0,0,0
InboundTrafficMetrics,0,0,0,9384,4,9384,4,0,0,0,0
OutboundTrafficMetrics,0,0,0,5688,5,5688,5,0,0,0,0
InboundTrafficMetrics,0,0,0,8808,4,8808,4,0,0,0,0
OutboundTrafficMetrics,0,0,0,4376,3,4376,3,0,0,0,0
InboundTrafficMetrics,0,0,0,3560,3,3560,3,0,0,0,0
OutboundTrafficMetrics,0,0,0,4376,3,4376,3,0,0,0,0
InboundTrafficMetrics,0,0,0,3264,3,3264,3,0,0,0,0
OutboundTrafficMetrics,0,0,0,3520,4,3520,4,0,0,0,0
InboundTrafficMetrics,0,0,0,4896,4,4896,4,0,0,0,0
OutboundTrafficMetrics,0,0,0,3520,4,3520,4,0,0,0,0
InboundTrafficMetrics,0,0,0,4312,3,4312,3,0,0,0,0
OutboundTrafficMetrics,0,0,0,12936,6,12936,6,0,0,0,0
