category,n_pkts_dropped,n_bits_dropped,n_pkts_bypassed,n_rx_bits,n_rx_pkts,n_tx_bits,n_tx_pkts,n_rx_offload_bits,n_rx_offload_pkts,n_tx_offload_bits,n_tx_offload_pkts
OutboundTrafficMetrics,0,0,1,15776,9,15776,9,0,0,0,0
InboundTrafficMetrics,0,0,3,12784,8,12784,8,0,0,0,0
OutboundTrafficMetrics,0,0,1,15776,9,15776,9,0,0,0,0
InboundTrafficMetrics,0,0,3,12200,8,12200,8,0,0,0,0
OutboundTrafficMetrics,0,0,1,36344,20,36344,20,0,0,0,0
InboundTrafficMetrics,0,0,1,69864,21,69864,21,0,0,0,0
OutboundTrafficMetrics,0,0,1,36344,20,36344,20,0,0,0,0
InboundTrafficMetrics,0,0,1,69568,21,69568,21,0,0,0,0
OutboundTrafficMetrics,0,0,4,14296,9,14296,9,0,0,0,0
InboundTrafficMetrics,0,0,6,22112,9,22112,9,0,0,0,0
OutboundTrafficMetrics,0,0,4,14296,9,14296,9,0,0,0,0
InboundTrafficMetrics,0,0,6,21824,9,21824,9,0,0,0,0
OutboundTrafficMetrics,0,0,4,22888,11,22888,11,0,0,0,0
InboundTrafficMetrics,0,0,6,26200,10,26200,10,0,0,0,0
OutboundTrafficMetrics,0,0,4,22888,11,22888,11,0,0,0,0
InboundTrafficMetrics,0,0,6,25624,9,25624,9,0,0,0,0
OutboundTrafficMetrics,0,0,2,26920,12,26920,12,0,0,0,0
InboundTrafficMetrics,0,0,3,18200,8,18200,8,0,0,0,0
OutboundTrafficMetrics,0,0,2,26920,12,26920,12,0,0,0,0
InboundTrafficMetrics,0,0,3,17912,8,17912,8,0,0,0,0
OutboundTrafficMetrics,0,0,2,14224,7,14224,7,0,0,0,0
InboundTrafficMetrics,0,0,3,9840,5,9840,5,0,0,0,0
OutboundTrafficMetrics,0,0,2,14224,7,14224,7,0,0,0,0
InboundTrafficMetrics,0,0,3,9264,5,9264,5,0,0,0,0
OutboundTrafficMetrics,0,0,1,33544,19,33544,19,0,0,0,0
InboundTrafficMetrics,0,0,1,46896,18,46896,18,0,0,0,0
OutboundTrafficMetrics,0,0,1,33544,19,33544,19,0,0,0,0
InboundTrafficMetrics,0,0,1,46608,18,46608,18,0,0,0,0
OutboundTrafficMetrics,0,0,1,48176,71,48176,71,0,0,0,0
InboundTrafficMetrics,0,0,1,1850144,178,1850144,178,0,0,0,0
OutboundTrafficMetrics,0,0,1,48176,71,48176,71,0,0,0,0
InboundTrafficMetrics,0,0,1,1849848,178,1849848,178,0,0,0,0
OutboundTrafficMetrics,1,149,2,187040,295,185840,293,0,0,0,0
InboundTrafficMetrics,0,0,3,19021672,1769,19021672,1769,0,0,0,0
OutboundTrafficMetrics,1,149,2,187040,295,185840,293,0,0,0,0
InboundTrafficMetrics,0,0,3,19021088,1768,19021088,1768,0,0,0,0
OutboundTrafficMetrics,2,162,8,293752,423,292456,421,0,0,0,0
InboundTrafficMetrics,0,0,2,24383592,2269,24383592,2269,0,0,0,0
OutboundTrafficMetrics,2,162,8,293752,423,292456,421,0,0,0,0
InboundTrafficMetrics,0,0,2,24383304,2269,24383304,2269,0,0,0,0
OutboundTrafficMetrics,3,249,1,283480,431,281488,428,0,0,0,0
InboundTrafficMetrics,0,0,2,30312128,2814,30312128,2814,0,0,0,0
OutboundTrafficMetrics,3,249,1,283480,431,281488,428,0,0,0,0
InboundTrafficMetrics,0,0,2,30311552,2814,30311552,2814,0,0,0,0
OutboundTrafficMetrics,5,39,5,381944,614,381632,613,0,0,0,0
InboundTrafficMetrics,0,0,1,43250400,4001,43250400,4001,0,0,0,0
OutboundTrafficMetrics,5,39,5,381944,614,381632,613,0,0,0,0
InboundTrafficMetrics,0,0,1,43249992,4000,43249992,4000,0,0,0,0
OutboundTrafficMetrics,1,9,2,136080,224,136008,223,0,0,0,0
InboundTrafficMetrics,0,0,1,6946496,652,6946496,652,0,0,0,0
OutboundTrafficMetrics,1,9,2,136080,224,136008,223,0,0,0,0
InboundTrafficMetrics,0,0,1,6945912,652,6945912,652,0,0,0,0
OutboundTrafficMetrics,0,0,3,19568,10,19568,10,0,0,0,0
InboundTrafficMetrics,0,0,5,19176,8,19176,8,0,0,0,0
OutboundTrafficMetrics,0,0,3,19568,10,19568,10,0,0,0,0
InboundTrafficMetrics,0,0,5,18888,8,18888,8,0,0,0,0
OutboundTrafficMetrics,0,0,3,16592,9,16592,9,0,0,0,0
InboundTrafficMetrics,0,0,5,19496,7,19496,7,0,0,0,0
OutboundTrafficMetrics,0,0,3,16592,9,16592,9,0,0,0,0
InboundTrafficMetrics,0,0,5,19200,7,19200,7,0,0,0,0
OutboundTrafficMetrics,0,0,5,20208,14,20208,14,0,0,0,0
InboundTrafficMetrics,0,0,1,34200,13,34200,13,0,0,0,0
OutboundTrafficMetrics,0,0,5,20208,14,20208,14,0,0,0,0
InboundTrafficMetrics,0,0,1,33616,12,33616,12,0,0,0,0
OutboundTrafficMetrics,0,0,4,28368,13,28368,13,0,0,0,0
InboundTrafficMetrics,0,0,7,32616,12,32616,12,0,0,0,0
OutboundTrafficMetrics,0,0,4,28368,13,28368,13,0,0,0,0
InboundTrafficMetrics,0,0,7,32328,12,32328,12,0,0,0,0
OutboundTrafficMetrics,0,0,4,75480,21,75480,21,0,0,0,0
InboundTrafficMetrics,0,0,1,49608,23,49608,23,0,0,0,0
OutboundTrafficMetrics,0,0,4,75480,21,75480,21,0,0,0,0
InboundTrafficMetrics,0,0,1,49032,23,49032,23,0,0,0,0
OutboundTrafficMetrics,0,0,2,57120,22,57120,22,0,0,0,0
InboundTrafficMetrics,0,0,7,109928,23,109928,23,0,0,0,0
OutboundTrafficMetrics,0,0,2,57120,22,57120,22,0,0,0,0
InboundTrafficMetrics,0,0,7,109640,23,109640,23,0,0,0,0
OutboundTrafficMetrics,0,0,2,13976,7,13976,7,0,0,0,0
InboundTrafficMetrics,0,0,3,21016,7,21016,7,0,0,0,0
OutboundTrafficMetrics,0,0,2,13976,7,13976,7,0,0,0,0
InboundTrafficMetrics,0,0,3,20432,7,20432,7,0,0,0,0
OutboundTrafficMetrics,1,17,7,19624,12,19488,12,0,0,0,0
InboundTrafficMetrics,0,0,1,24088,9,24088,9,0,0,0,0
OutboundTrafficMetrics,1,17,7,19624,12,19488,12,0,0,0,0
InboundTrafficMetrics,0,0,1,23792,9,23792,9,0,0,0,0
OutboundTrafficMetrics,0,0,1,74184,22,74184,22,0,0,0,0
InboundTrafficMetrics,0,0,1,51752,25,51752,25,0,0,0,0
OutboundTrafficMetrics,0,0,1,74184,22,74184,22,0,0,0,0
InboundTrafficMetrics,0,0,1,51168,25,51168,25,0,0,0,0
OutboundTrafficMetrics,0,0,3,24424,13,24424,13,0,0,0,0
InboundTrafficMetrics,0,0,4,25384,10,25384,10,0,0,0,0
OutboundTrafficMetrics,0,0,3,24424,13,24424,13,0,0,0,0
InboundTrafficMetrics,0,0,4,25096,10,25096,10,0,0,0,0
OutboundTrafficMetrics,0,0,6,19888,13,19888,13,0,0,0,0
InboundTrafficMetrics,0,0,1,30648,12,30648,12,0,0,0,0
OutboundTrafficMetrics,0,0,6,19888,13,19888,13,0,0,0,0
InboundTrafficMetrics,0,0,1,29952,12,29952,12,0,0,0,0
OutboundTrafficMetrics,1,9,2,17144,11,17072,11,0,0,0,0
InboundTrafficMetrics,0,0,4,12104,9,12104,9,0,0,0,0
OutboundTrafficMetrics,1,9,2,17144,11,17072,11,0,0,0,0
InboundTrafficMetrics,0,0,4,11816,9,11816,9,0,0,0,0
OutboundTrafficMetrics,0,0,6,11448,8,11448,8,0,0,0,0
InboundTrafficMetrics,0,0,6,8656,5,8656,5,0,0,0,0
OutboundTrafficMetrics,0,0,6,11448,8,11448,8,0,0,0,0
InboundTrafficMetrics,0,0,6,8072,5,8072,5,0,0,0,0
OutboundTrafficMetrics,0,0,5,23712,11,23712,11,0,0,0,0
InboundTrafficMetrics,0,0,6,27688,8,27688,8,0,0,0,0
OutboundTrafficMetrics,0,0,5,23712,11,23712,11,0,0,0,0
InboundTrafficMetrics,0,0,6,27400,8,27400,8,0,0,0,0
OutboundTrafficMetrics,0,0,3,30272,13,30272,13,0,0,0,0
InboundTrafficMetrics,0,0,5,28752,10,28752,10,0,0,0,0
OutboundTrafficMetrics,0,0,3,30272,13,30272,13,0,0,0,0
InboundTrafficMetrics,0,0,5,28464,10,28464,10,0,0,0,0
OutboundTrafficMetrics,0,0,5,18688,11,18688,11,0,0,0,0
InboundTrafficMetrics,0,0,8,21200,8,21200,8,0,0,0,0
OutboundTrafficMetrics,0,0,5,18688,11,18688,11,0,0,0,0
InboundTrafficMetrics,0,0,8,20624,8,20624,8,0,0,0,0
OutboundTrafficMetrics,0,0,2,11088,8,11088,8,0,0,0,0
InboundTrafficMetrics,0,0,3,10504,6,10504,6,0,0,0,0
OutboundTrafficMetrics,0,0,2,11088,8,11088,8,0,0,0,0
InboundTrafficMetrics,0,0,3,10216,6,10216,6,0,0,0,0
OutboundTrafficMetrics,0,0,3,34112,13,34112,13,0,0,0,0
InboundTrafficMetrics,0,0,7,25528,11,25528,11,0,0,0,0
OutboundTrafficMetrics,0,0,3,34112,13,34112,13,0,0,0,0
InboundTrafficMetrics,0,0,7,24952,11,24952,11,0,0,0,0
OutboundTrafficMetrics,1,9,8,30680,17,30608,17,0,0,0,0
InboundTrafficMetrics,0,0,1,177992,25,177992,25,0,0,0,0
OutboundTrafficMetrics,1,9,8,30680,17,30608,17,0,0,0,0
InboundTrafficMetrics,0,0,1,177696,24,177696,24,0,0,0,0
OutboundTrafficMetrics,9,74,5,26152,13,25552,12,0,0,0,0
InboundTrafficMetrics,0,0,6,27752,11,27752,11,0,0,0,0
OutboundTrafficMetrics,9,74,5,26152,13,25552,12,0,0,0,0
InboundTrafficMetrics,0,0,6,27464,11,27464,11,0,0,0,0
OutboundTrafficMetrics,2,12,1,95912,27,95808,27,0,0,0,0
InboundTrafficMetrics,0,0,1,96848,25,96848,25,0,0,0,0
OutboundTrafficMetrics,2,12,1,95912,27,95808,27,0,0,0,0
InboundTrafficMetrics,0,0,1,96272,25,96272,25,0,0,0,0
OutboundTrafficMetrics,0,0,2,33632,15,33632,15,0,0,0,0
InboundTrafficMetrics,0,0,4,47256,15,47256,15,0,0,0,0
OutboundTrafficMetrics,0,0,2,33632,15,33632,15,0,0,0,0
InboundTrafficMetrics,0,0,4,46960,15,46960,15,0,0,0,0
OutboundTrafficMetrics,2,15,5,75184,20,75056,19,0,0,0,0
InboundTrafficMetrics,0,0,1,33000,22,33000,22,0,0,0,0
OutboundTrafficMetrics,2,15,5,75184,20,75056,19,0,0,0,0
InboundTrafficMetrics,0,0,1,32424,22,32424,22,0,0,0,0
OutboundTrafficMetrics,0,0,1,25040,15,25040,15,0,0,0,0
InboundTrafficMetrics,0,0,1,32624,14,32624,14,0,0,0,0
OutboundTrafficMetrics,0,0,1,25040,15,25040,15,0,0,0,0
InboundTrafficMetrics,0,0,1,32216,14,32216,14,0,0,0,0
OutboundTrafficMetrics,1,9,1,91928,142,91856,142,0,0,0,0
InboundTrafficMetrics,0,0,1,7962560,747,7962560,747,0,0,0,0
OutboundTrafficMetrics,1,9,1,91928,142,91856,142,0,0,0,0
InboundTrafficMetrics,0,0,1,7961984,747,7961984,747,0,0,0,0
OutboundTrafficMetrics,0,0,5,15600,10,15600,10,0,0,0,0
InboundTrafficMetrics,0,0,6,20056,9,20056,9,0,0,0,0
OutboundTrafficMetrics,0,0,5,15600,10,15600,10,0,0,0,0
