category,timestamp,n_pkts_dropped,n_bits_dropped,n_pkts_bypassed,n_rx_bits,n_rx_pkts,n_tx_bits,n_tx_pkts,n_rx_offload_bits,n_rx_offload_pkts,n_tx_offload_bits,n_tx_offload_pkts
OutboundTrafficMetrics,30-05-2023 05:31:11,3,35,5,13248,8,12968,8,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:31:11,0,0,7,16656,7,16656,7,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:31:11,3,35,5,13248,8,12968,8,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:31:11,0,0,7,16360,7,16360,7,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:31:11,0,0,0,0,0,0,0,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:31:11,0,0,0,0,0,0,0,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:31:21,1,9,4,9272,4,9200,4,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:31:21,0,0,5,7312,4,7312,4,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:31:21,1,9,4,9272,4,9200,4,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:31:21,0,0,5,7024,4,7024,4,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:31:21,0,0,0,0,0,0,0,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:31:21,0,0,0,0,0,0,0,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:31:31,0,0,5,6696,6,6696,6,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:31:31,0,0,6,59512,9,59512,9,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:31:31,0,0,5,6696,6,6696,6,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:31:31,0,0,6,58928,8,58928,8,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:31:31,0,0,0,0,0,0,0,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:31:31,0,0,0,0,0,0,0,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:31:41,1,9,5,7264,4,7192,4,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:31:41,0,0,6,7080,4,7080,4,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:31:41,1,9,5,7264,4,7192,4,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:31:41,0,0,6,6792,4,6792,4,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:31:41,0,0,0,0,0,0,0,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:31:41,0,0,0,0,0,0,0,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:31:51,0,0,5,13616,5,13616,5,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:31:51,0,0,7,13424,4,13424,4,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:31:51,0,0,5,13616,5,13616,5,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:31:51,0,0,7,12840,4,12840,4,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:31:51,0,0,0,0,0,0,0,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:31:51,0,0,0,0,0,0,0,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:01,0,0,2,14024,7,14024,7,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:01,0,0,3,8848,5,8848,5,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:01,0,0,2,14024,7,14024,7,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:01,0,0,3,8560,5,8560,5,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:01,0,0,0,0,0,0,0,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:01,0,0,0,0,0,0,0,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:11,2,18,2,30056,12,29912,12,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:11,0,0,4,22432,9,22432,9,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:11,2,18,2,30056,12,29912,12,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:11,0,0,4,22144,9,22144,9,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:11,0,0,0,0,0,0,0,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:11,0,0,0,0,0,0,0,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:21,1,9,4,7408,3,7336,3,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:21,0,0,5,6008,3,6008,3,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:21,1,9,4,7408,3,7336,3,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:21,0,0,5,5312,3,5312,3,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:21,0,0,0,0,0,0,0,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:21,0,0,0,0,0,0,0,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:31,0,0,1,8280,3,8280,3,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:31,0,0,1,6000,3,6000,3,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:31,0,0,1,8280,3,8280,3,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:31,0,0,1,5712,3,5712,3,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:31,0,0,0,0,0,0,0,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:31,0,0,0,0,0,0,0,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:41,1,9,1,1992,2,1920,2,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:41,0,0,1,2448,2,2448,2,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:41,1,9,1,1992,2,1920,2,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:41,0,0,1,1864,2,1864,2,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:41,0,0,0,0,0,0,0,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:41,0,0,0,0,0,0,0,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:51,1,17,1,2336,2,2200,1,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:51,0,0,1,1672,2,1672,2,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:51,1,17,1,2336,2,2200,1,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:51,0,0,1,1384,1,1384,1,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:32:51,0,0,0,0,0,0,0,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:32:51,0,0,0,0,0,0,0,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:33:01,0,0,5,17416,9,17416,9,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:33:01,0,0,8,22712,8,22712,8,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:33:01,0,0,5,17416,9,17416,9,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:33:01,0,0,8,22128,8,22128,8,0,0,0,0
OutboundTrafficMetrics,30-05-2023 05:33:01,0,0,0,0,0,0,0,0,0,0,0
InboundTrafficMetrics,30-05-2023 05:33:01,0,0,0,0,0,0,0,0,0,0,0
