category,timestamp,n_pkts,n_bits,n_drops,n_syn_pkts,n_ack_pkts,n_psh_pkts,n_rst_pkts,n_fin_pkts,n_ece_pkts,n_urg_pkts,n_cwr_pkts,n_tcp_payload_misbehaviour_drops,n_tcp_payload_misbehaviour_timeouts,n_out_of_order_drops,n_ssl_renegotiation_requests
InboundTCPMetrics,1685404871000,3,9920,0,4,3,1,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404871000,3,9920,0,4,3,1,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404871000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404881000,3,3768,0,4,2,1,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404881000,3,3768,0,4,2,1,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404881000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404891000,7,54824,0,2,6,1,1,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685404891000,7,54824,0,2,6,1,1,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685404891000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404901000,3,5952,0,3,2,1,0,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685404901000,3,5952,0,3,2,1,0,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685404901000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404911000,4,11944,0,2,4,1,1,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685404911000,4,11944,0,2,4,1,1,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685404911000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404921000,4,7448,0,2,4,1,3,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685404921000,4,7448,0,2,4,1,3,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685404921000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404931000,4,9336,0,5,4,1,2,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685404931000,4,9336,0,5,4,1,2,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685404931000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404941000,2,4704,0,2,2,1,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404941000,2,4704,0,2,2,1,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404941000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404951000,2,3576,0,2,1,7,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404951000,2,3576,0,2,1,7,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404951000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404961000,1,1384,0,0,1,7,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404961000,1,1384,0,0,1,7,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404961000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404971000,1,1328,0,4,1,4,3,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685404971000,1,1328,0,4,1,4,3,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685404971000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404981000,7,21104,0,5,7,2,2,5,0,0,0,0,0,0,0
InboundTCPMetrics,1685404981000,7,21104,0,5,7,2,2,5,0,0,0,0,0,0,0
InboundTCPMetrics,1685404981000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685404991000,11,17880,0,5,10,4,6,3,0,0,0,0,0,0,0
InboundTCPMetrics,1685404991000,11,17880,0,5,10,4,6,3,0,0,0,0,0,0,0
InboundTCPMetrics,1685404991000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405001000,2,2176,0,0,2,1,2,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405001000,2,2176,0,0,2,1,2,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405011000,1,3656,0,3,1,6,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405011000,1,3656,0,3,1,6,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405011000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405021000,3,7112,0,2,2,1,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405021000,3,7112,0,2,2,1,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405021000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405031000,2,2032,0,3,1,6,4,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405031000,2,2032,0,3,1,6,4,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405041000,3,7256,0,1,3,1,0,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405041000,3,7256,0,1,3,1,0,1,0,0,0,0,0,0,0
